gene_id	switch_sig	de_deseq2_nooffset	de_deseq2_lenoffset	de_edger_nooffset	de_edger_lenoffset	efflen_ratio_max_min
ENSG00000232774.7	True	True	True	True	True	1.400959367945824
ENSG00000231607.10	False	True	True	True	True	3.438177063877475
ENSG00000149656.8	False	True	True	True	True	1.6055363321799307
ENSG00000161149.12	False	True	True	True	True	1.1764004767580454
ENSG00000232527.7	True	True	True	True	True	1.470557994575631
ENSG00000163364.9	False	True	True	True	True	1.6789976133651552
ENSG00000215241.3	False	True	True	True	True	1.762749445676275
ENSG00000170161.6	False	True	True	True	True	1.7823240589198035
ENSG00000170846.16	True	True	True	True	True	1.4398753894080998
ENSG00000172965.14	True	True	True	True	True	2.265703176565354
ENSG00000174171.5	False	True	True	True	True	5.4613935969868175
ENSG00000272752.6	False	True	True	True	True	1.8210974693059383
ENSG00000179136.6	False	True	True	True	True	1.9142178046672427
ENSG00000179523.4	False	True	True	True	True	2.526919682259488
ENSG00000176593.7	False	True	True	True	True	5.874087591240876
ENSG00000177738.3	True	True	True	True	True	3.9276315789473686
ENSG00000177337.7	True	True	True	True	True	3.1855252497974615
ENSG00000176840.11	False	True	True	True	True	1.78303028907955
ENSG00000180769.8	True	True	True	True	True	4.435628406422067
ENSG00000177406.4	False	True	True	True	True	3.9031719532554257
ENSG00000177133.10	False	True	True	True	True	6.654132400612156
ENSG00000175611.11	True	True	True	True	True	1.8130928797504384
ENSG00000214184.3	False	True	True	True	True	1.028673835125448
ENSG00000242791.2	False	True	True	True	True	2.054380664652568
ENSG00000176912.3	False	True	True	True	True	1.2022792022792024
ENSG00000176728.7	True	False	False	True	True	1.913231879016929
ENSG00000178803.10	False	True	True	True	True	1.2614701529353725
ENSG00000177410.12	True	True	True	True	True	1.0877152533857581
ENSG00000185837.3	True	True	True	True	True	1.817109144542773
ENSG00000183250.11	False	True	True	True	False	1.9220716309772783
ENSG00000170919.15	True	True	True	True	True	3.7058037770494585
ENSG00000185847.7	False	True	True	True	True	1.5570054945054945
ENSG00000182109.7	True	True	True	True	True	3.0123203285420943
ENSG00000222041.10	True	True	True	True	True	1.321444023741895
ENSG00000185168.5	False	True	True	True	True	1.6288244766505635
ENSG00000183308.6	False	True	True	True	True	1.690721649484536
ENSG00000189223.14	True	True	True	True	True	20.80952380952381
ENSG00000182648.11	True	True	True	True	True	2.8165552497050723
ENSG00000182873.5	False	True	True	True	True	2.014469453376206
ENSG00000186594.14	True	True	True	True	True	1.714965551745194
ENSG00000186615.10	True	True	True	True	True	1.549645390070922
ENSG00000228463.9	False	True	True	True	True	1.63136971449223
ENSG00000249087.6	True	True	True	True	True	5.1873728833696875
ENSG00000204588.5	False	True	True	True	True	1.0726552179656539
ENSG00000270580.5	False	True	True	True	True	5.305301645338209
ENSG00000188185.11	False	True	True	True	True	6.514957264957265
ENSG00000188825.13	False	True	True	True	True	1.7770034843205575
ENSG00000188242.4	False	True	True	True	True	1.0170909278669904
ENSG00000188511.12	False	True	True	True	True	2.6379391100702576
ENSG00000232110.7	False	True	True	True	True	1.6588720770288858
ENSG00000196167.9	True	True	True	True	True	1.6638586398191906
ENSG00000196295.11	True	True	True	True	True	4.1639328277358345
ENSG00000198468.7	True	True	True	True	False	2.8737254901960787
ENSG00000197934.8	False	True	True	True	True	1.7798643714136673
ENSG00000236882.7	True	True	True	True	True	2.5522388059701493
ENSG00000174365.19	True	True	True	True	True	2.053509734587651
ENSG00000198221.8	False	True	True	True	True	2.458440131819846
ENSG00000182165.17	True	True	True	True	True	1.4330589076323923
ENSG00000251301.6	True	True	True	True	True	2.068649885583524
ENSG00000197182.14	True	True	True	True	True	9.23076923076923
ENSG00000242687.2	False	True	True	True	True	6.2234432234432235
ENSG00000256925.2	True	True	True	True	True	1.1114890400604687
ENSG00000234222.6	False	False	False	False	True	2.2440318302387268
ENSG00000203279.3	False	True	True	True	True	1.088512241054614
ENSG00000228010.5	True	True	True	True	True	1.0601503759398496
ENSG00000231312.6	True	True	True	True	True	3.804119579271739
ENSG00000249684.5	False	True	True	True	True	2.197132616487455
ENSG00000179818.13	True	True	True	True	True	2.4955809215815576
ENSG00000240401.8	True	True	False	True	True	2.3221757322175733
ENSG00000203506.5	False	True	True	True	True	1.5032751075388346
ENSG00000234912.11	True	True	True	True	True	2.0846303501945527
ENSG00000235257.8	False	True	True	True	True	2.675641930132889
ENSG00000223482.7	True	True	True	True	True	1.8260298260529542
ENSG00000146521.9	False	True	True	True	True	1.4083546462063086
ENSG00000225511.6	False	True	True	True	True	5.910377358490566
ENSG00000233452.6	True	True	True	True	True	2.45502201719438
ENSG00000213057.5	True	True	True	True	True	4.473958333333333
ENSG00000203739.3	False	True	True	True	True	1.2822324267043448
ENSG00000203808.10	False	True	True	True	True	1.5325989877939863
ENSG00000203865.9	False	True	True	True	True	1.6996759092545912
ENSG00000203875.10	True	True	True	True	True	1.8344991553928744
ENSG00000203876.9	True	True	True	True	True	13.402542372881356
ENSG00000174407.13	False	True	True	True	True	1.482381530984204
ENSG00000203930.10	True	True	True	True	True	1.9100968188105119
ENSG00000203987.2	False	True	True	True	True	6.974025974025974
ENSG00000203993.4	False	True	True	True	True	1.4547906039405596
ENSG00000203999.8	False	True	True	True	True	2.418875927889714
ENSG00000226711.6	False	True	True	True	True	5.288306451612903
ENSG00000204055.4	False	True	True	True	True	1.5709900230237912
ENSG00000125804.13	False	True	True	True	True	3.008009492732127
ENSG00000204706.14	False	True	True	True	True	1.8197859018580453
ENSG00000204792.2	True	False	False	True	True	2.353470437017995
ENSG00000204802.3	False	False	True	False	False	3.2535211267605635
ENSG00000204860.4	False	True	True	True	True	1.7373209772535805
ENSG00000204929.12	True	True	True	True	True	1.6644754141467262
ENSG00000168405.15	True	True	True	True	True	2.1678607983623337
ENSG00000205037.2	True	True	True	True	True	1.786707882534776
ENSG00000205181.5	False	True	True	True	True	10.557858376511227
ENSG00000120664.10	False	True	True	True	True	1.1141732283464567
ENSG00000234449.2	False	True	True	True	True	1.2813835989117761
ENSG00000237945.7	False	True	True	True	True	14.5984
ENSG00000205696.4	False	True	True	True	True	1.0095087163232963
ENSG00000205740.2	False	False	False	False	True	1.645811240721103
ENSG00000248932.5	False	True	True	True	True	1.1294559218666163
ENSG00000205885.7	False	True	True	True	True	16.22153846153846
ENSG00000237975.6	False	True	True	True	True	3.3057395143487858
ENSG00000205913.6	False	True	True	True	True	4.71304347826087
ENSG00000205930.8	False	False	False	False	True	4.074750830564784
ENSG00000206187.3	False	True	True	True	True	3.7972972972972974
ENSG00000206195.10	False	True	True	True	True	2.212711337667886
ENSG00000206417.8	True	True	True	True	True	3.212851397756088
ENSG00000206567.9	False	True	False	True	True	3.1722408026755855
ENSG00000203288.3	False	True	True	True	True	1.2841423948220065
ENSG00000224043.7	True	True	True	True	True	1.0936995153473343
ENSG00000233175.2	True	True	True	True	True	5.312997347480106
ENSG00000247498.9	False	True	True	True	True	4.365
ENSG00000227540.1	True	True	True	True	True	1.2882502113271344
ENSG00000177335.10	True	True	True	True	True	3.5377358490566038
ENSG00000224281.4	True	True	True	True	True	5.517117117117117
ENSG00000220575.7	False	True	True	True	True	1.661339889366933
ENSG00000236432.7	False	True	True	True	True	6.128878281622912
ENSG00000213963.6	False	True	True	True	True	7.736815920398009
ENSG00000232807.2	False	True	True	True	True	9.149606299212598
ENSG00000214049.6	False	True	True	True	True	1.6811700182815357
ENSG00000214106.7	True	True	True	True	True	1.2532991924364782
ENSG00000214293.8	True	True	True	True	True	1.7771961899013273
ENSG00000214353.7	False	True	True	True	True	2.2624708624708623
ENSG00000214401.4	True	True	True	True	True	1.0681289479731721
ENSG00000214548.14	True	True	True	True	True	3.0254074168097844
ENSG00000236200.5	False	True	True	True	True	2.0024038461538463
ENSG00000214719.11	False	True	True	True	True	2.436645962732919
ENSG00000214900.9	True	True	True	True	True	3.854955041320474
ENSG00000214922.9	True	True	True	True	True	1.9283970707892595
ENSG00000186960.10	True	True	True	True	True	1.8915254237288137
ENSG00000215022.7	False	True	True	True	True	4.168173598553345
ENSG00000215039.6	True	True	True	True	True	1.9275103343177782
ENSG00000215067.9	True	True	True	True	True	2.237342025624354
ENSG00000215068.7	True	True	True	True	True	6.027363184079602
ENSG00000215256.3	True	True	True	True	True	2.1016949152542375
ENSG00000215386.11	True	True	True	True	True	3.404713934236275
ENSG00000215447.7	False	True	True	True	True	3.7532133676092543
ENSG00000215483.9	True	True	True	True	True	7.3312629399585925
ENSG00000242349.5	False	True	True	True	True	1.1025641025641026
ENSG00000215859.8	False	True	True	True	True	1.7168098159509202
ENSG00000215866.7	False	True	True	True	True	2.3715775749674055
ENSG00000216895.9	True	True	True	True	True	1.5533372267752557
